(("Nome","Descrição","Preço","Quantidade"
"Lâmpada LED 15W","Produto de longa duração","18.33","50"
"Lâmpada LED 9W","Indicado para ambientes internos e externos","151.89","12"
"Lâmpada LED 9W","Indicado para ambientes internos e externos","119.55","50"
"Painel Solar 150W","Fácil instalação","141.77","90"
"Lâmpada Filamento LED","Produto de alta qualidade","109.62","9"
"Bateria Estacionária","Alta resistência e durabilidade","126.51","86"
"Painel Solar 150W","Material resistente à umidade","239.94","56"
"Dimer LED","Produto de alta qualidade","291.36","66"
"Plafon LED 24W","Ideal para instalações elétricas","395.86","77"
"Tomada USB","Material resistente à umidade","54.0","50"
"Abraçadeira Plástica","Produto de longa duração","352.59","31"
"Lâmpada LED 9W","Baixo consumo de energia","265.42","85"
"Painel LED 60x60","Produto certificado pelo Inmetro","335.58","46"
"Caixa de Passagem 4x4","Alta capacidade de condução","151.02","83"
"Caixa de Passagem 4x2","Excelente custo-benefício","196.63","76"
"Relé Temporizador","Fácil instalação","102.55","69"
"Fita LED 5m","Material resistente a altas temperaturas","226.24","60"
"Fio 2,5mm","Suporte a diversas tensões","162.16","76"
"Controlador de Carga","Com tecnologia avançada","408.75","21"
"Lâmpada LED 15W","Acompanha manual de instalação","13.87","59"
"Campainha Eletrônica","Ideal para instalações elétricas","335.82","98"
"Extensão 3m","Produto certificado pelo Inmetro","410.07","63"
"Painel Solar 150W","Excelente custo-benefício","174.24","30"
"Furadeira 500W","Acompanha manual de instalação","339.17","100"
"Plafon LED 24W","Material resistente a altas temperaturas","371.86","90"
"Interruptor Duplo","Desenvolvido para máxima performance","305.34","12"
"Extensão 3m","Excelente custo-benefício","92.17","4"
"Disjuntor 32A","Compatível com diversos modelos","257.59","11"
"Campainha Eletrônica","Com tecnologia avançada","434.99","64"
"Fita Isolante","Projetado para segurança e eficiência","248.45","39"
"Relé Temporizador","Indicado para ambientes internos e externos","358.61","27"
"Extensão 3m","Alta resistência e durabilidade","55.73","73"
"Fio 2,5mm","Produto de longa duração","292.51","26"
"Extensão 5m","Indicado para ambientes internos e externos","397.9","69"
"Abraçadeira Plástica","Excelente custo-benefício","431.87","1"
"Fita LED 5m","Compatível com diversos modelos","477.87","19"
"Chave Boia","Material resistente a altas temperaturas","179.07","87"
"Conector de Emenda","Projetado para segurança e eficiência","457.81","55"
"Reator Eletrônico","Com tecnologia avançada","43.45","97"
"Quadro de Distribuição","Produto de alta qualidade","165.49","61"
"Dimer LED","Produto de longa duração","373.23","75"
"Interruptor Simples","Material resistente a altas temperaturas","131.46","29"
"DPS 220V","Material resistente a altas temperaturas","115.45","37"
"Disjuntor 32A","Acompanha manual de instalação","290.75","11"
"Cabo Coaxial","Alta capacidade de condução","212.12","39"
"Lâmpada Dicroica LED","Suporte a diversas tensões","363.43","14"
"Tomada USB","Alta capacidade de condução","246.47","6"
"Chave Boia","Material resistente à umidade","236.97","67"
"Cabo Coaxial","Produto de alta qualidade","238.13","84"
"Cabo de Rede CAT6","Projetado para segurança e eficiência","244.58","30"
"Tomada 10A","Compatível com diversos modelos","116.92","19"
"Luva de Emenda","Com tecnologia avançada","54.73","12"
"Extensão 5m","Alta capacidade de condução","130.68","29"
"Controlador de Carga","Compatível com diversos modelos","12.22","1"
"Reator Eletrônico","Compatível com diversos modelos","269.56","81"
"Fio 4mm","Baixo consumo de energia","380.87","86"
"Lâmpada LED 9W","Alta resistência e durabilidade","396.36","55"
"Controlador de Carga","Material resistente à umidade","106.95","54"
"Campainha Eletrônica","Com tecnologia avançada","142.82","42"
"Câmara de Segurança","Compatível com diversos modelos","207.43","42"
"Plafon LED 24W","Alta capacidade de condução","54.83","47"
"Conector de Emenda","Alta capacidade de condução","182.26","57"
"Cabo HDMI","Alta capacidade de condução","290.7","23"
"Disco de Serra","Ideal para instalações elétricas","301.89","58"
"Cabo HDMI","Indicado para ambientes internos e externos","79.94","45"
"Refletor LED 50W","Produto de longa duração","30.36","59"
"Fita Isolante","Suporte a diversas tensões","397.37","35"
"Furadeira 500W","Modelo compacto e eficiente","179.97","49"
"Reator Eletrônico","Indicado para ambientes internos e externos","369.12","81"
"Cabo de Rede CAT6","Modelo compacto e eficiente","163.26","64"
"Fita Isolante","Suporte a diversas tensões","476.9","18"
"Disco de Serra","Indicado para ambientes internos e externos","382.88","98"
"Sensor de Presença","Indicado para ambientes internos e externos","349.03","23"
"Cabo Coaxial","Compatível com diversos modelos","134.35","19"
"Tomada 10A","Suporte a diversas tensões","101.99","83"
"Controlador de Carga","Alta capacidade de condução","300.76","54"
"Régua de Tomadas","Baixo consumo de energia","134.79","27"
"Tomada Inteligente Wi-Fi","Suporte a diversas tensões","219.99","84"
"Extensão 3m","Alta capacidade de condução","94.56","55"
"Furadeira 500W","Desenvolvido para máxima performance","302.05","74"
"Painel Solar 150W","Alta capacidade de condução","317.81","35"
"Sensor de Presença","Produto de alta qualidade","272.19","77"
"Conector de Emenda","Produto certificado pelo Inmetro","151.0","25"
"Disjuntor 32A","Ideal para instalações elétricas","158.86","41"
"Bateria Estacionária","Fácil instalação","38.66","63"
"Conector de Emenda","Excelente custo-benefício","118.83","2"
"Fio 2,5mm","Indicado para ambientes internos e externos","65.47","84"
"Interruptor Inteligente","Indicado para ambientes internos e externos","191.25","5"
"Lâmpada Filamento LED","Alta resistência e durabilidade","400.17","59"
"Disjuntor 10A","Acompanha manual de instalação","76.67","72"
"Extensão 5m","Alta capacidade de condução","437.05","54"
"Lâmpada Dicroica LED","Desenvolvido para máxima performance","163.48","1"
"Chave Fim de Curso","Baixo consumo de energia","241.14","40"
"Lâmpada LED 9W","Produto de alta qualidade","321.93","63"
"Luminária de Emergência","Compatível com diversos modelos","102.4","35"
"Interruptor Inteligente","Projetado para segurança e eficiência","284.97","71"
"Disjuntor 10A","Acompanha manual de instalação","120.98","83"
"Dimer LED","Produto de alta qualidade","87.15","26"
"Tomada 20A","Material resistente à umidade","200.9","74"
"Reator Eletrônico","Produto de alta qualidade","74.91","58"
"Tomada 20A","Alta capacidade de condução","456.65","88"
"Tomada USB","Material resistente a altas temperaturas","127.03","16"
"Caixa de Passagem 4x4","Excelente custo-benefício","464.97","33"
"Interruptor Inteligente","Produto de longa duração","94.92","80"
"Chave Boia","Produto de alta qualidade","462.97","68"
"Chave Fim de Curso","Fácil instalação","145.0","55"
"Extensão 5m","Com tecnologia avançada","77.8","35"
"Extensão 5m","Compatível com diversos modelos","320.34","38"
"Reator Eletrônico","Ideal para instalações elétricas","35.9","39"
"Reator Eletrônico","Desenvolvido para máxima performance","329.09","64"
"Painel Solar 150W","Projetado para segurança e eficiência","403.88","59"
"Disco de Serra","Design moderno e funcional","480.51","26"
"Lâmpada LED 9W","Suporte a diversas tensões","495.36","74"
"Interruptor Duplo","Excelente custo-benefício","273.66","39"
"Câmara de Segurança","Com tecnologia avançada","18.82","19"
"Extensão 3m","Produto certificado pelo Inmetro","298.44","85"
"Dimer LED","Modelo compacto e eficiente","148.67","87"
"Fita LED 5m","Fácil instalação","126.11","17"
"Caixa de Passagem 4x2","Ideal para instalações elétricas","451.74","78"
"Caixa de Passagem 4x2","Projetado para segurança e eficiência","269.56","52"
"Dimer LED","Fácil instalação","94.04","86"
"Tomada Inteligente Wi-Fi","Material resistente a altas temperaturas","314.77","13"
"Interruptor Inteligente","Produto de longa duração","346.58","43"
"Cabo de Rede CAT6","Fácil instalação","171.72","100"
"Fio 4mm","Com tecnologia avançada","427.51","83"
"Lâmpada LED 9W","Desenvolvido para máxima performance","31.16","75"
"Chave Fim de Curso","Acompanha manual de instalação","339.37","45"
"Transformador 110V/220V","Acompanha manual de instalação","407.13","5"
"Conector de Emenda","Acompanha manual de instalação","344.86","5"
"Cabo HDMI","Indicado para ambientes internos e externos","66.67","80"
"Tomada USB","Suporte a diversas tensões","138.66","49"
"Extensão 3m","Com tecnologia avançada","463.49","41"
"Abraçadeira Plástica","Produto certificado pelo Inmetro","73.31","41"
"Interruptor Simples","Baixo consumo de energia","489.52","16"
"Régua de Tomadas","Produto certificado pelo Inmetro","442.36","6"
"Interruptor Simples","Material resistente à umidade","310.22","42"
"Refletor LED 50W","Produto de alta qualidade","191.2","30"
"Fita Isolante","Modelo compacto e eficiente","365.04","42"
"Painel LED 60x60","Excelente custo-benefício","53.71","47"
"Tomada 20A","Indicado para ambientes internos e externos","14.43","89"
"Furadeira 500W","Compatível com diversos modelos","224.3","93"
"Lâmpada LED 9W","Material resistente a altas temperaturas","138.38","28"
"Cabo de Rede CAT6","Material resistente à umidade","457.47","14"
"Tomada USB","Produto certificado pelo Inmetro","371.39","6"
"Fita LED 5m","Alta resistência e durabilidade","404.05","78"
"Tomada USB","Alta resistência e durabilidade","278.37","71"
"Fio 4mm","Suporte a diversas tensões","149.74","30"
"Interruptor Inteligente","Alta capacidade de condução","90.64","48"
"Lâmpada Dicroica LED","Indicado para ambientes internos e externos","161.82","55"
"Chave Boia","Alta capacidade de condução","331.96","21"
"Furadeira 500W","Baixo consumo de energia","172.07","64"
"Detector de Fumaça","Projetado para segurança e eficiência","431.62","71"
"Plafon LED 24W","Ideal para instalações elétricas","135.27","59"
"Tomada Inteligente Wi-Fi","Suporte a diversas tensões","217.82","66"
"Cabo Coaxial","Design moderno e funcional","222.93","71"
"Disjuntor 32A","Projetado para segurança e eficiência","476.98","46"
"Detector de Fumaça","Ideal para instalações elétricas","338.23","20"
"Cabo Coaxial","Indicado para ambientes internos e externos","42.95","46"
"Disjuntor 10A","Excelente custo-benefício","293.65","3"
"Lâmpada LED 9W","Desenvolvido para máxima performance","342.38","15"
"Reator Eletrônico","Indicado para ambientes internos e externos","123.48","72"
"Sensor de Presença","Alta resistência e durabilidade","54.57","39"
"Tomada 10A","Desenvolvido para máxima performance","156.97","44"
"Cabo Coaxial","Com tecnologia avançada","265.34","60"
"Disco de Serra","Material resistente à umidade","54.52","29"
"Cabo HDMI","Indicado para ambientes internos e externos","345.59","41"
"Tomada 10A","Indicado para ambientes internos e externos","477.86","99"
"Caixa de Passagem 4x4","Material resistente a altas temperaturas","176.71","85"
"Sensor de Presença","Compatível com diversos modelos","388.4","65"
"Fio 2,5mm","Produto de alta qualidade","303.99","62"
"Lâmpada LED 9W","Material resistente a altas temperaturas","316.53","92"
"Disjuntor 32A","Suporte a diversas tensões","18.79","69"
"Painel Solar 150W","Modelo compacto e eficiente","31.36","26"
"Abraçadeira Plástica","Acompanha manual de instalação","429.85","95"
"Campainha Eletrônica","Design moderno e funcional","206.55","34"
"Interruptor Inteligente","Modelo compacto e eficiente","430.55","56"
"Tomada 20A","Compatível com diversos modelos","5.53","99"
"Disco de Serra","Indicado para ambientes internos e externos","397.42","59"
"Tomada USB","Acompanha manual de instalação","345.64","100"
"Caixa de Passagem 4x4","Com tecnologia avançada","76.42","54"
"Refletor LED 50W","Suporte a diversas tensões","336.02","51"
"Lâmpada Dicroica LED","Alta resistência e durabilidade","169.63","43"
"Interruptor Inteligente","Projetado para segurança e eficiência","273.71","23"
"Painel LED 60x60","Suporte a diversas tensões","251.13","56"
"Plafon LED 24W","Material resistente a altas temperaturas","161.77","12"
"Luminária de Emergência","Projetado para segurança e eficiência","212.74","53"
"Painel LED 60x60","Projetado para segurança e eficiência","326.52","13"
"Tomada Inteligente Wi-Fi","Baixo consumo de energia","216.24","6"
"Caixa de Passagem 4x4","Alta resistência e durabilidade","412.57","9"
"Quadro de Distribuição","Indicado para ambientes internos e externos","335.39","79"
"Régua de Tomadas","Projetado para segurança e eficiência","131.34","65"
"Interruptor Duplo","Alta resistência e durabilidade","453.25","38"
"Chave Fim de Curso","Baixo consumo de energia","273.66","10"
"Extensão 5m","Baixo consumo de energia","237.3","63"
"Lâmpada Filamento LED","Alta resistência e durabilidade","456.5","4"
"Abraçadeira Plástica","Projetado para segurança e eficiência","391.14","99"
"Luminária de Emergência","Projetado para segurança e eficiência","39.51","85"
"Quadro de Distribuição","Projetado para segurança e eficiência","93.69","87"
"Lâmpada Filamento LED","Compatível com diversos modelos","407.79","90"
"Chave Boia","Projetado para segurança e eficiência","301.51","57"
"Interruptor Simples","Design moderno e funcional","29.53","58"
"Campainha Eletrônica","Produto de alta qualidade","349.58","79"
"Câmara de Segurança","Desenvolvido para máxima performance","312.57","6"
"Caixa de Passagem 4x4","Acompanha manual de instalação","114.78","89"
"Interruptor Simples","Modelo compacto e eficiente","398.36","23"
"Tomada 20A","Material resistente à umidade","236.09","17"
"Disjuntor 10A","Projetado para segurança e eficiência","119.26","69"
"Lâmpada Filamento LED","Material resistente à umidade","328.65","64"
"Interruptor Simples","Modelo compacto e eficiente","410.41","43"
"Furadeira 500W","Material resistente a altas temperaturas","452.97","87"
"Fita LED 5m","Ideal para instalações elétricas","357.24","85"
"Campainha Eletrônica","Produto certificado pelo Inmetro","312.29","34"
"Tomada 10A","Produto certificado pelo Inmetro","162.31","11"
"Dimer LED","Alta resistência e durabilidade","268.1","5"
"Lâmpada LED 9W","Alta resistência e durabilidade","358.5","54"
"Tomada USB","Com tecnologia avançada","213.14","11"
"Fita LED 5m","Suporte a diversas tensões","480.66","5"
"Lâmpada LED 15W","Com tecnologia avançada","76.71","21"
"Interruptor Duplo","Baixo consumo de energia","309.62","71"
"Fio 4mm","Produto de alta qualidade","52.15","54"
"Interruptor Duplo","Indicado para ambientes internos e externos","347.85","12"
"Chave Boia","Alta capacidade de condução","490.39","80"
"Fita Isolante","Produto certificado pelo Inmetro","81.18","25"
"Painel Solar 150W","Desenvolvido para máxima performance","242.86","1"
"Cabo Coaxial","Produto de longa duração","304.8","2"
"Ducha Elétrica 5400W","Excelente custo-benefício","392.26","21"
"Abraçadeira Plástica","Acompanha manual de instalação","20.0","13"
"Furadeira 500W","Material resistente a altas temperaturas","159.8","23"
"Tomada Inteligente Wi-Fi","Alta resistência e durabilidade","46.32","31"
"Quadro de Distribuição","Material resistente a altas temperaturas","80.71","64"
"Luminária de Emergência","Alta capacidade de condução","203.66","29"
"Fita LED 5m","Material resistente a altas temperaturas","103.68","10"
"Tomada 10A","Projetado para segurança e eficiência","108.64","8"
"Bateria Estacionária","Fácil instalação","443.86","6"
"Régua de Tomadas","Baixo consumo de energia","65.43","21"
"Caixa de Passagem 4x4","Baixo consumo de energia","58.03","64"
"Conector de Emenda","Material resistente à umidade","354.13","78"
"Chave Boia","Desenvolvido para máxima performance","173.42","56"
"Fita Isolante","Produto certificado pelo Inmetro","13.37","94"
"Caixa de Passagem 4x4","Ideal para instalações elétricas","325.34","17"
"Fita LED 5m","Design moderno e funcional","446.82","66"
"Caixa de Passagem 4x2","Material resistente à umidade","386.99","58"
"Campainha Eletrônica","Fácil instalação","111.41","91"
"Tomada USB","Design moderno e funcional","147.08","65"
"Disjuntor 32A","Indicado para ambientes internos e externos","80.85","90"
"Controlador de Carga","Baixo consumo de energia","429.07","55"
"Fita Isolante","Indicado para ambientes internos e externos","431.4","11"
"Disjuntor 32A","Produto de alta qualidade","443.73","52"
"Tomada Inteligente Wi-Fi","Alta resistência e durabilidade","284.36","76"
"Fio 4mm","Excelente custo-benefício","343.46","75"
"Extensão 3m","Modelo compacto e eficiente","478.96","69"
"Conector de Emenda","Design moderno e funcional","162.73","10"
"Relé Temporizador","Suporte a diversas tensões","355.61","50"
"Lâmpada LED 9W","Ideal para instalações elétricas","35.8","84"
"DPS 220V","Indicado para ambientes internos e externos","425.75","63"
"Tomada 20A","Produto de longa duração","260.8","71"
"Cabo HDMI","Excelente custo-benefício","55.76","97"
"Interruptor Inteligente","Indicado para ambientes internos e externos","178.14","89"
"Dimer LED","Suporte a diversas tensões","272.57","53"
"Interruptor Duplo","Suporte a diversas tensões","282.53","53"
"Interruptor Duplo","Ideal para instalações elétricas","334.82","23"
"Interruptor Simples","Fácil instalação","205.22","61"
"Ducha Elétrica 5400W","Design moderno e funcional","75.57","88"
"Luminária de Emergência","Baixo consumo de energia","61.78","58"
"Ducha Elétrica 5400W","Acompanha manual de instalação","492.67","88"
"Luva de Emenda","Excelente custo-benefício","319.62","41"
"Lâmpada Filamento LED","Excelente custo-benefício","414.07","64"
"Disjuntor 32A","Ideal para instalações elétricas","177.44","70"
"Plafon LED 24W","Produto certificado pelo Inmetro","58.21","77"
"Câmara de Segurança","Fácil instalação","265.82","14"
"Plafon LED 24W","Desenvolvido para máxima performance","488.82","22"
"Cabo de Rede CAT6","Desenvolvido para máxima performance","154.1","7"
"Dimer LED","Alta resistência e durabilidade","404.41","24"
"Fita Isolante","Produto certificado pelo Inmetro","361.57","32"
"Bateria Estacionária","Indicado para ambientes internos e externos","135.71","85"
"Chave Fim de Curso","Indicado para ambientes internos e externos","201.96","32"
"Controlador de Carga","Fácil instalação","433.0","90"
"Relé Temporizador","Indicado para ambientes internos e externos","101.84","50"
"Conector de Emenda","Modelo compacto e eficiente","433.94","12"
"Reator Eletrônico","Material resistente a altas temperaturas","88.1","18"
"Interruptor Inteligente","Baixo consumo de energia","358.62","91"
"Furadeira 500W","Desenvolvido para máxima performance","31.46","91"
"Chave Fim de Curso","Acompanha manual de instalação","24.71","95"
"Fita LED 5m","Projetado para segurança e eficiência","219.58","80"
"Régua de Tomadas","Desenvolvido para máxima performance","489.47","50"
"Lâmpada LED 9W","Acompanha manual de instalação","43.46","82"
"Painel Solar 150W","Fácil instalação","206.4","98"
"Plafon LED 24W","Fácil instalação","197.9","43"
"Interruptor Inteligente","Fácil instalação","184.62","93"
"Sensor de Presença","Material resistente à umidade","117.43","29"
"Bateria Estacionária","Alta resistência e durabilidade","268.57","10"
"Furadeira 500W","Alta capacidade de condução","320.11","74"
"Lâmpada LED 9W","Alta resistência e durabilidade","40.0","48"
"Conector de Emenda","Produto de alta qualidade","371.05","47"
"Plafon LED 24W","Produto de alta qualidade","283.3","80"
"Quadro de Distribuição","Modelo compacto e eficiente","401.81","26"
"Lâmpada LED 15W","Acompanha manual de instalação","462.04","46"
"Disjuntor 10A","Material resistente à umidade","143.16","22"
"Interruptor Inteligente","Produto de alta qualidade","125.11","46"
"Régua de Tomadas","Produto de longa duração","379.67","70"
"Cabo Coaxial","Produto certificado pelo Inmetro","224.42","24"
"Bateria Estacionária","Baixo consumo de energia","429.23","21"
"Chave Boia","Desenvolvido para máxima performance","222.19","52"
"Dimer LED","Compatível com diversos modelos","115.9","70"
"Painel LED 60x60","Alta resistência e durabilidade","72.6","12"
"Tomada USB","Material resistente à umidade","50.83","66"
"Fita Isolante","Modelo compacto e eficiente","212.5","15"
"Quadro de Distribuição","Suporte a diversas tensões","32.66","83"
"Régua de Tomadas","Compatível com diversos modelos","232.58","81"
"Painel Solar 150W","Material resistente a altas temperaturas","128.94","40"
"Bateria Estacionária","Ideal para instalações elétricas","72.36","44"
"Câmara de Segurança","Produto certificado pelo Inmetro","126.11","99"
"Painel LED 60x60","Excelente custo-benefício","402.97","98"
"Sensor de Presença","Material resistente à umidade","256.18","52"
"Disjuntor 32A","Alta resistência e durabilidade","213.19","100"
"Conector de Emenda","Com tecnologia avançada","38.72","29"
"Relé Temporizador","Baixo consumo de energia","485.19","95"
"Dimer LED","Projetado para segurança e eficiência","434.2","67"
"Cabo de Rede CAT6","Alta resistência e durabilidade","493.08","31"
"Transformador 110V/220V","Indicado para ambientes internos e externos","285.33","88"
"Tomada Inteligente Wi-Fi","Material resistente a altas temperaturas","300.22","22"
"Luva de Emenda","Produto de longa duração","337.45","85"
"Furadeira 500W","Produto certificado pelo Inmetro","28.03","50"
"Tomada 20A","Indicado para ambientes internos e externos","483.52","10"
"Dimer LED","Compatível com diversos modelos","311.06","1"
"Fita LED 5m","Produto de longa duração","88.9","20"
"Plafon LED 24W","Projetado para segurança e eficiência","300.08","27"
"Disco de Serra","Material resistente à umidade","102.15","10"
"Tomada Inteligente Wi-Fi","Ideal para instalações elétricas","44.02","51"
"Chave Boia","Baixo consumo de energia","192.36","18"
"Disco de Serra","Projetado para segurança e eficiência","230.64","1"
"Tomada 10A","Material resistente a altas temperaturas","343.33","42"
"Bateria Estacionária","Fácil instalação","164.25","26"
"Cabo de Rede CAT6","Design moderno e funcional","302.68","27"
"Interruptor Inteligente","Produto de longa duração","306.5","21"
"Conector de Emenda","Indicado para ambientes internos e externos","205.63","27"
"Extensão 3m","Ideal para instalações elétricas","369.86","76"
"Disjuntor 10A","Acompanha manual de instalação","215.2","47"
"Interruptor Simples","Baixo consumo de energia","194.59","20"
"Fio 2,5mm","Design moderno e funcional","76.95","47"
"Plafon LED 24W","Baixo consumo de energia","426.29","5"
"Painel Solar 150W","Projetado para segurança e eficiência","406.78","1"
"Fio 4mm","Desenvolvido para máxima performance","463.12","14"
"Painel Solar 150W","Projetado para segurança e eficiência","492.92","49"
"Luminária de Emergência","Modelo compacto e eficiente","320.19","80"
"Disco de Serra","Desenvolvido para máxima performance","42.24","50"
"Chave Fim de Curso","Produto certificado pelo Inmetro","67.26","97"
"Detector de Fumaça","Produto de alta qualidade","282.39","41"
"Caixa de Passagem 4x4","Produto certificado pelo Inmetro","233.37","10"
"Ducha Elétrica 5400W","Produto de longa duração","250.76","60"
"Tomada 10A","Desenvolvido para máxima performance","261.84","42"
"Lâmpada Dicroica LED","Design moderno e funcional","79.45","81"
"Lâmpada Filamento LED","Suporte a diversas tensões","464.89","3"
"Luva de Emenda","Material resistente a altas temperaturas","408.31","30"
"Abraçadeira Plástica","Alta resistência e durabilidade","459.43","40"
"Caixa de Passagem 4x4","Design moderno e funcional","330.13","93"
"Tomada USB","Acompanha manual de instalação","324.35","86"
"Interruptor Simples","Material resistente a altas temperaturas","360.99","10"
"Disco de Serra","Alta resistência e durabilidade","261.76","31"
"Disco de Serra","Fácil instalação","322.84","84"
"Interruptor Inteligente","Compatível com diversos modelos","309.28","30"
"Painel Solar 150W","Desenvolvido para máxima performance","9.0","6"
"Lâmpada LED 9W","Modelo compacto e eficiente","25.44","71"
"Régua de Tomadas","Projetado para segurança e eficiência","413.58","12"
"Transformador 110V/220V","Produto de longa duração","296.64","35"
"Conector de Emenda","Com tecnologia avançada","296.6","51"
"Fio 4mm","Compatível com diversos modelos","495.5","8"
"Cabo HDMI","Fácil instalação","477.22","74"
"Fita LED 5m","Suporte a diversas tensões","255.47","81"
"Cabo de Rede CAT6","Compatível com diversos modelos","389.09","66"
"Cabo HDMI","Excelente custo-benefício","324.32","71"
"DPS 220V","Desenvolvido para máxima performance","493.62","93"
"Cabo HDMI","Produto de longa duração","431.22","17"
"Conector de Emenda","Material resistente a altas temperaturas","126.05","80"
"Dimer LED","Alta resistência e durabilidade","439.08","4"
"Chave Fim de Curso","Produto certificado pelo Inmetro","393.82","56"
"Cabo de Rede CAT6","Indicado para ambientes internos e externos","390.28","3"
"Campainha Eletrônica","Suporte a diversas tensões","218.35","36"
"Cabo HDMI","Material resistente a altas temperaturas","213.91","44"
"Plafon LED 24W","Compatível com diversos modelos","161.29","96"
"Tomada USB","Design moderno e funcional","262.59","24"
"Conector de Emenda","Projetado para segurança e eficiência","488.4","85"
"Controlador de Carga","Alta resistência e durabilidade","424.3","56"
"Refletor LED 50W","Produto certificado pelo Inmetro","368.28","54"
"Luminária de Emergência","Indicado para ambientes internos e externos","455.68","30"
"Cabo HDMI","Com tecnologia avançada","6.96","10"
"Lâmpada Filamento LED","Material resistente a altas temperaturas","240.96","9"
"Reator Eletrônico","Baixo consumo de energia","224.54","42"
"Interruptor Inteligente","Material resistente à umidade","415.26","35"
"Dimer LED","Compatível com diversos modelos","256.52","18"
"Cabo Coaxial","Baixo consumo de energia","276.64","4"
"Painel Solar 150W","Fácil instalação","264.05","39"
"Tomada USB","Projetado para segurança e eficiência","401.94","54"
"Tomada 10A","Material resistente à umidade","405.28","57"
"Cabo HDMI","Material resistente à umidade","219.11","24"
"Disjuntor 10A","Produto de longa duração","450.01","81"
"Conector de Emenda","Alta capacidade de condução","251.04","28"
"Lâmpada LED 9W","Compatível com diversos modelos","471.84","50"
"Relé Temporizador","Acompanha manual de instalação","338.69","89"
"DPS 220V","Projetado para segurança e eficiência","496.05","66"
"Dimer LED","Modelo compacto e eficiente","29.37","19"
"Chave Boia","Compatível com diversos modelos","87.63","42"
"Câmara de Segurança","Desenvolvido para máxima performance","454.29","72"
"Detector de Fumaça","Produto certificado pelo Inmetro","105.68","98"
"Bateria Estacionária","Produto de longa duração","272.83","99"
"Chave Fim de Curso","Alta capacidade de condução","420.95","5"
"Cabo HDMI","Fácil instalação","248.54","74"
"Dimer LED","Compatível com diversos modelos","405.21","35"
"Conector de Emenda","Alta capacidade de condução","356.88","62"
"Cabo de Rede CAT6","Fácil instalação","86.02","99"
"Disco de Serra","Excelente custo-benefício","403.01","27"
"Tomada Inteligente Wi-Fi","Modelo compacto e eficiente","71.26","64"
"Disco de Serra","Desenvolvido para máxima performance","172.07","11"
"Tomada Inteligente Wi-Fi","Fácil instalação","464.56","92"
"Ducha Elétrica 5400W","Alta resistência e durabilidade","23.21","16"
"Chave Boia","Projetado para segurança e eficiência","210.49","98"
